"","X","fullname","Category","Country","League","Position","Rating","Club","DIV","REF","GKP","HAN","POS"
"4",223,"Manuel Neuer","Basic","Germany","Bundesliga","GK",89,"FC Bayern München","89","89","91","90","91"
"11",349,"De Gea","Basic","Spain","Premier League","GK",87,"Manchester United","88","90","85","85","85"
"19",406,"Thibaut Courtois","Basic","Belgium","Premier League","GK",86,"Chelsea","84","89","86","91","86"
"40",470,"Hugo Lloris","Basic","France","Premier League","GK",85,"Tottenham Hotspur","87","90","82","87","82"
"42",475,"Petr Cech","Basic","Czech Republic","Premier League","GK",85,"Arsenal","83","85","85","90","85"
"43",476,"Samir Handanovic","Basic","Slovenia","Calcio A","GK",85,"Inter","86","86","86","89","86"
"44",477,"Gianluigi Buffon","Basic","Italy","Calcio A","GK",85,"Juventus","87","84","90","88","90"
"45",479,"Jan Oblak","Basic","Slovenia","LaLiga Santander","GK",85,"Atlético Madrid","83","82","87","90","87"
"62",543,"Bernd Leno","Basic","Germany","Bundesliga","GK",84,"Bayer 04 Leverkusen","85","83","86","86","86"
"107",679,"José Reina","Basic","Spain","Calcio A","GK",83,"Napoli","80","83","84","85","84"
"108",682,"Claudio Bravo","Basic","Chile","LaLiga Santander","GK",83,"FC Barcelona","83","85","78","85","78"
"109",683,"Claudio Bravo","Basic","Chile","Premier League","GK",83,"Manchester City","83","85","78","85","78"
"113",687,"Stéphane Ruffier","Basic","France","Ligue 1","GK",83,"AS Saint-Étienne","82","87","83","83","83"
"114",688,"Ralf Fährmann","Basic","Germany","Bundesliga","GK",83,"FC Schalke 04","83","87","85","86","85"
"115",689,"Steve Mandanda","Basic","France","Premier League","GK",83,"Crystal Palace","86","85","81","80","81"
"116",690,"Keylor Navas","Basic","Costa Rica","LaLiga Santander","GK",83,"Real Madrid","87","85","80","82","80"
"123",714,"Joe Hart","Basic","England","Calcio A","GK",82,"Torino","84","87","82","81","82"
"124",715,"Joe Hart","Basic","England","Premier League","GK",82,"Manchester City","84","87","82","81","82"
"161",778,"Mattia Perin","Basic","Italy","Calcio A","GK",82,"Genoa","80","90","78","85","78"
"167",785,"Andrea Consigli","Basic","Italy","Calcio A","GK",82,"Sassuolo","84","84","81","84","81"
"169",788,"Yann Sommer","Basic","Switzerland","Bundesliga","GK",82,"Borussia Mönchengladbach","83","85","80","82","80"
"170",789,"Rui Patrício","Basic","Portugal","Liga NOS","GK",82,"Sporting CP","85","83","82","81","82"
"171",790,"Rui Patrício","Basic","Portugal","Liga NOS","GK",82,"Sporting CP","85","83","82","81","82"
"174",793,"Anthony Lopes","Basic","Portugal","Ligue 1","GK",82,"Olympique Lyonnais","86","87","77","79","77"
"190",814,"Marc-André ter Stegen","Basic","Germany","LaLiga Santander","GK",82,"FC Barcelona","84","85","78","81","78"
"224",857,"Benoît Costil","Basic","France","Ligue 1","GK",81,"Stade Rennais FC","82","84","82","80","82"
"225",858,"Diego Alves","Basic","Brazil","LaLiga Santander","GK",81,"Valencia CF","88","87","77","76","77"
"232",872,"Emiliano Viviano","Basic","Italy","Calcio A","GK",81,"Sampdoria","81","83","78","84","78"
"233",873,"Júlio César","Basic","Brazil","Liga NOS","GK",81,"SL Benfica","83","84","82","82","82"
"236",876,"Vincent Enyeama","Basic","Nigeria","Ligue 1","GK",81,"LOSC Lille","78","90","78","80","78"
"258",904,"Jack Butland","Basic","England","Premier League","GK",81,"Stoke City","81","85","79","83","79"
"261",907,"Asmir Begovic","Basic","Bosnia Herzegovina","Premier League","GK",81,"Chelsea","83","84","80","81","80"
"262",908,"Asmir Begovic","Basic","Bosnia Herzegovina","Premier League","GK",81,"Chelsea","83","84","80","81","80"
"265",912,"Marco Sportiello","Basic","Italy","Calcio A","GK",81,"Atalanta","84","85","79","80","79"
"266",913,"Gerónimo Rulli","Basic","Argentina","LaLiga Santander","GK",81,"Real Sociedad","85","86","80","79","80"
"275",925,"Loris Karius","Basic","Germany","Premier League","GK",81,"Liverpool","84","85","80","76","80"
"285",944,"Fernando Muslera","Basic","Uruguay","Süper Lig","GK",81,"Galatasaray SK","83","85","79","78","79"
"289",948,"Kevin Trapp","Basic","Germany","Ligue 1","GK",81,"Paris Saint-Germain","83","85","80","79","80"
"291",950,"Danijel Subašic","Basic","Croatia","Ligue 1","GK",81,"AS Monaco Football Club SA","82","83","81","78","81"
"300",959,"Orestis Karnezis","Basic","Greece","Calcio A","GK",81,"Udinese","80","84","80","83","80"
"302",961,"Timo Horn","Basic","Germany","Bundesliga","GK",81,"1. FC Köln","80","83","82","80","82"
"314",974,"Federico Marchetti","Basic","Italy","Calcio A","GK",81,"Lazio","82","86","78","80","78"
"385",1073,"Roman Bürki","Basic","Switzerland","Bundesliga","GK",80,"Borussia Dortmund","81","84","78","80","78"
"388",1076,"Onur Kivrak","Basic","Turkey","Süper Lig","GK",80,"Trabzonspor","82","86","79","77","79"
"392",1080,"Ron-Robert Zieler","Basic","Germany","Premier League","GK",80,"Leicester City","78","82","81","82","81"
